"FP.5 ","TTC Lidar","",,,,,"",,,,,""
"Frame","","",,,,,"",,,,,""
"1","NA","",,,,,"",,,,,""
"2","13.0722","",,,,,"",,,,,""
"3","12.364","",,,,,"",,,,,""
"4","14.0161","",,,,,"",,,,,""
"5","14.9865","",,,,,"",,,,,""
"6","7.51552","",,,,,"",,,,,""
"7","12.5213","",,,,,"",,,,,""
"8","34.4404","",,,,,"",,,,,""
"9","9.44376","",,,,,"",,,,,""
"10","18.2318","",,,,,"",,,,,""
"11","18.1318","",,,,,"",,,,,""
"12","15.0877","",,,,,"",,,,,""
"13","10.2","",,,,,"",,,,,""
"14","9.32307","",,,,,"",,,,,""
"15","11.0678","",,,,,"",,,,,""
"16","8.19422","",,,,,"",,,,,""
"17","8.91392","",,,,,"",,,,,""
"18","10.3926","",,,,,"",,,,,""
"19","8.62001","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
"","","",,,,,"",,,,,""
